prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
TCHAOUDJO,Zone 1: Urbaine,kossobio,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,zongo,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,didaourè,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,kouloundè,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,centre admnistratif,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
TCHAOUDJO,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
BASSAR,Zone 1: Urbaine,okoro,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,boukoundjibé,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,ouadandé,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,bamimda,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,boukoutchabe,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,biakpabe,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,kpankissi,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,saboundjra,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,ketangbao,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,kpadja doumpou,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,kodjo doumpou,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,biakpabe-aviation,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,aviation,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 1: Urbaine,nangbani,3000000.0,600.0,5000.0,ValeursVenales
BASSAR,Zone 2: Périurbaine,zone périurbaine,1500000.0,600.0,2500.0,ValeursVenales
BASSAR,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
KOZAH,Zone 1: Urbaine,centre ville,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,téloudè,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,tomdè,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,lama-feing,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,lama-elimdè,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,hopital chinois,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,powaï,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 1: Urbaine,dongoyo,5000000.0,600.0,8333.0,ValeursVenales
KOZAH,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
KOZAH,Zone 3: Rurale,terrains agricoles,250000.0,10000.0,25.0,ValeursVenales
TONE,Zone 1: Urbaine,kombonloaga,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,nassable,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,bodjopale,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,worgou,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,napiengue (zongo),5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,carnavale,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,konkoaré,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,diyobe,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,gbayoba,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,nakolbe,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,loabe,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 1: Urbaine,naleguebe,5000000.0,600.0,8333.0,ValeursVenales
TONE,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
TONE,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
CINKASSE,Zone 1: Urbaine,pogoyogo,5000000.0,600.0,8333.0,ValeursVenales
CINKASSE,Zone 1: Urbaine,natinga,5000000.0,600.0,8333.0,ValeursVenales
CINKASSE,Zone 1: Urbaine,limanfogue,5000000.0,600.0,8333.0,ValeursVenales
CINKASSE,Zone 1: Urbaine,samango,5000000.0,600.0,8333.0,ValeursVenales
